word,description
dog,"✨ dog  
🍑: /dɒɡ/  
🌸: 狗  
🀄️: 狗"
cat,"✨ cat  
🍑: /kæt/  
🌸: 猫  
🀄️: 猫"
bird,"✨ bird  
🍑: /bɜːrd/  
🌸: 鸟  
🀄️: 鸟"
rabbit,"✨ rabbit  
🍑: /ˈræbɪt/  
🌸: 兔子  
🀄️: 兔子"
hamster,"✨ hamster  
🍑: /ˈhæmstər/  
🌸: 仓鼠  
🀄️: 仓鼠"
horse,"✨ horse  
🍑: /hɔːrs/  
🌸: 马  
🀄️: 马"
elephant,"✨ elephant  
🍑: /ˈɛlɪfənt/  
🌸: 大象  
🀄️: 大象"
lion,"✨ lion  
🍑: /ˈlaɪən/  
🌸: 狮子  
🀄️: 狮子"
tiger,"✨ tiger  
🍑: /ˈtaɪɡər/  
🌸: 老虎  
🀄️: 老虎"
bear,"✨ bear  
🍑: /bɛr/  
🌸: 熊  
🀄️: 熊"
panda,"✨ panda  
🍑: /ˈpændə/  
🌸: 熊猫  
🀄️: 熊猫"
monkey,"✨ monkey  
🍑: /ˈmʌŋki/  
🌸: 猴子  
🀄️: 猴子"
giraffe,"✨ giraffe  
🍑: /dʒəˈræf/  
🌸: 长颈鹿  
🀄️: 长颈鹿"
zebra,"✨ zebra  
🍑: /ˈziːbrə/  
🌸: 斑马  
🀄️: 斑马"
deer,"✨ deer  
🍑: /dɪr/  
🌸: 鹿  
🀄️: 鹿"
fox,"✨ fox  
🍑: /fɒks/  
🌸: 狐狸  
🀄️: 狐狸"
wolf,"✨ wolf  
🍑: /wʊlf/  
🌸: 狼  
🀄️: 狼"
sheep,"✨ sheep  
🍑: /ʃiːp/  
🌸: 羊  
🀄️: 羊"
goat,"✨ goat  
🍑: /ɡoʊt/  
🌸: 山羊  
🀄️: 山羊"
cow,"✨ cow  
🍑: /kaʊ/  
🌸: 牛  
🀄️: 牛"
pig,"✨ pig  
🍑: /pɪɡ/  
🌸: 猪  
🀄️: 猪"
chicken,"✨ chicken  
🍑: /ˈtʃɪkɪn/  
🌸: 鸡  
🀄️: 鸡"
duck,"✨ duck  
🍑: /dʌk/  
🌸: 鸭子  
🀄️: 鸭子"
goose,"✨ goose  
🍑: /ɡuːs/  
🌸: 鹅  
🀄️: 鹅"
tree,"✨ tree  
🍑: /triː/  
🌸: 树  
🀄️: 树"
